age,count,roc_auc,pr_auc,positive_rate
[0-10),44,0.5357142857142857,0.06941176470588235,0.045454545454545456
[10-20),169,0.828048780487805,0.2994623655913979,0.029585798816568046
[20-30),370,0.6501996007984032,0.14316732141731864,0.0972972972972973
[30-40),993,0.7177181340992375,0.2894277584437997,0.11581067472306143
[40-50),2364,0.7063841180474506,0.2645899140404096,0.10617597292724196
[50-60),4373,0.7288009077803307,0.25793046542899334,0.10359021266864853
[60-70),5639,0.6777350959137591,0.24581810368214516,0.10338712537683986
[70-80),6414,0.6843517694216656,0.2569445450923814,0.1127221702525725
[80-90),4131,0.6563620294555597,0.2338352901894915,0.1205519244734931
[90-100),662,0.5802325581395349,0.12957931380718363,0.09063444108761329
