threshold,tn,fp,fn,tp,total_cost
0.05,2319,20114,86,2640,-3498320.0
0.06,4729,17704,210,2516,-2485520.0
0.07,7433,15000,375,2351,-1077500.0
0.08,9770,12663,542,2184,395560.0
0.09,11515,10918,705,2021,1897660.0
0.09999999999999999,13111,9322,879,1847,3533140.0
0.10999999999999999,14647,7786,1032,1694,4955320.0
0.12,15962,6471,1197,1529,6530020.0
0.13,17064,5369,1360,1366,8109280.0
0.13999999999999999,17968,4465,1516,1210,9638800.0
0.14999999999999997,18709,3724,1623,1103,10673380.0
0.15999999999999998,19315,3118,1739,987,11818660.0
0.16999999999999998,19838,2595,1838,888,12795400.0
0.18,20250,2183,1919,807,13596460.0
0.19,20576,1857,2002,724,14428840.0
0.19999999999999996,20882,1551,2068,658,15085120.0
0.20999999999999996,21109,1324,2127,599,15677380.0
0.21999999999999997,21307,1126,2177,549,16178620.0
0.22999999999999998,21475,958,2218,508,16588960.0
0.24,21593,840,2255,471,16963300.0
0.24999999999999994,21715,718,2306,420,17484160.0
0.25999999999999995,21795,638,2341,385,17842060.0
0.26999999999999996,21867,566,2368,358,18116920.0
0.27999999999999997,21930,503,2393,333,18371860.0
0.29,21992,441,2419,307,18637420.0
0.3,22036,397,2443,283,18884140.0
0.30999999999999994,22085,348,2469,257,19151260.0
0.31999999999999995,22128,305,2491,235,19377100.0
0.32999999999999996,22171,262,2503,223,19497940.0
0.33999999999999997,22195,238,2526,200,19736560.0
0.3499999999999999,22229,204,2546,180,19942480.0
0.35999999999999993,22251,182,2569,157,20181340.0
0.36999999999999994,22271,162,2579,147,20283940.0
0.37999999999999995,22295,138,2586,140,20354560.0
0.38999999999999996,22314,119,2599,127,20488780.0
0.3999999999999999,22333,100,2613,113,20633500.0
0.4099999999999999,22349,84,2622,104,20726080.0
0.41999999999999993,22354,79,2634,92,20851480.0
0.42999999999999994,22362,71,2644,82,20955520.0
0.43999999999999995,22371,62,2650,76,21017440.0
0.4499999999999999,22375,58,2657,69,21090460.0
0.4599999999999999,22386,47,2666,60,21183640.0
0.4699999999999999,22391,42,2668,58,21204040.0
0.4799999999999999,22395,38,2674,52,21266560.0
0.48999999999999994,22399,34,2679,47,21318580.0
0.49999999999999994,22403,30,2680,46,21328600.0
0.5099999999999999,22409,24,2685,41,21380380.0
0.5199999999999999,22411,22,2687,39,21401140.0
0.5299999999999999,22416,17,2689,37,21421540.0
0.5399999999999999,22418,15,2698,28,21515800.0
0.5499999999999999,22421,12,2704,22,21578440.0
0.5599999999999999,22426,7,2705,21,21588340.0
0.57,22427,6,2706,20,21598720.0
0.58,22428,5,2707,19,21609100.0
0.59,22430,3,2709,17,21629860.0
0.6,22430,3,2712,14,21661360.0
0.61,22430,3,2712,14,21661360.0
0.62,22430,3,2713,13,21671860.0
0.63,22430,3,2716,10,21703360.0
0.6399999999999999,22430,3,2718,8,21724360.0
0.6499999999999999,22430,3,2720,6,21745360.0
0.6599999999999999,22430,3,2720,6,21745360.0
0.6699999999999999,22431,2,2721,5,21755740.0
0.6799999999999999,22431,2,2722,4,21766240.0
0.69,22432,1,2723,3,21776620.0
0.7,22433,0,2724,2,21787000.0
0.71,22433,0,2724,2,21787000.0
0.72,22433,0,2724,2,21787000.0
0.73,22433,0,2724,2,21787000.0
0.74,22433,0,2724,2,21787000.0
0.7499999999999999,22433,0,2724,2,21787000.0
0.7599999999999999,22433,0,2726,0,21808000.0
0.7699999999999999,22433,0,2726,0,21808000.0
0.7799999999999999,22433,0,2726,0,21808000.0
0.7899999999999999,22433,0,2726,0,21808000.0
0.7999999999999999,22433,0,2726,0,21808000.0
0.8099999999999999,22433,0,2726,0,21808000.0
0.82,22433,0,2726,0,21808000.0
0.83,22433,0,2726,0,21808000.0
0.84,22433,0,2726,0,21808000.0
0.8499999999999999,22433,0,2726,0,21808000.0
0.8599999999999999,22433,0,2726,0,21808000.0
0.8699999999999999,22433,0,2726,0,21808000.0
0.8799999999999999,22433,0,2726,0,21808000.0
0.8899999999999999,22433,0,2726,0,21808000.0
0.8999999999999999,22433,0,2726,0,21808000.0
0.9099999999999999,22433,0,2726,0,21808000.0
0.9199999999999999,22433,0,2726,0,21808000.0
0.9299999999999999,22433,0,2726,0,21808000.0
0.94,22433,0,2726,0,21808000.0
0.95,22433,0,2726,0,21808000.0
